Disease,symptoms
Ebola virus disease,exposure when symptoms incubation period 2 21 days average symptoms 8 10 days early symptoms ebola late symptoms who symptoms 21 days being exposed ebola disease fever greater equal 100 4â f 38 0â c severe headache sore throat joint pain muscle pain weakness fatigue loss appetite rash abdominal stomach pain diarrhea vomiting red eyes hiccups bleeding mouth rectum bleeding eyes ears nose organ failure
ECHO virus,symptoms depend site infection croupâ breathing difficulty harsh cough mouth sores skin rashes sore throat chest pain infection affects heart muscle sac-like covering heart pericarditis severe headache mental status changes fever chills nausea vomiting sensitivity light infection affects membranes covering brain spinal cord meningitis
Yaws,2 4 weeks infection sore called mother yaw where bacteria enter skin sore tan reddish raspberry painless itching sores last months sores shortly mother yaw heals scratching sore spread bacteria mother yaw uninfected skin eventually skin sores heal symptoms advanced stage sores skin bones severe disfigurement disability up 1 5 who antibiotic treatment bone pain scarring skin swelling bones fingers
Noma,noma sudden tissue destruction rapidly worse gums lining cheeks inflamed sores ulcers ulcers foul-smelling drainage causing bad breath skin odor infection spreads skin tissues lips cheeks die eventually destroy soft tissue bone destruction bones mouth deformity face loss teeth noma affect genitals spreading genital skin called noma pudendi
Congenital cytomegalovirus,congenital cmv symptoms those who symptoms inflammation retina yellow skin whites eyes jaundice large spleen liver low birth weight mineral deposits brain rash birth seizures small head size
Congenital syphilis,babies who infected birth normal symptoms babies younger 2 years symptoms symptoms older infants young enlarged liver spleen mass belly failure gain weight failure thrive prior birth low birthweight fever irritability irritation cracking skin mouth genitals anus rash starting small blisters especially palms soles later changing copper-colored flat bumpy rash skeletal bone abnormalities able move painful arm leg watery fluid nose abnormal notched peg-shaped teeth called hutchinson teeth bone pain blindness clouding cornea covering eyeball decreased hearing deafness deformity nose flattened nasal bridge saddle nose gray mucus-like patches anus vagina joint swelling saber shins bone problem lower leg scarring skin mouth genitals anus
Chlamydia,chlamydia symptoms similar gonorrhea symptoms symptoms burning urination discharge penis rectum tenderness pain testicles rectal discharge pain burning urination painful sexual intercourse rectal pain discharge symptoms pelvic inflammatory disease pid salpingitis inflammation fallopian tubes liver inflammation similar hepatitis vaginal discharge bleeding intercourse
Perianal streptococcal cellulitis,symptoms fever itching pain bleeding bowel movements redness anus
Leprosy,symptoms skin lesions lighter your normal skin color lesions decreased sensation touch heat pain lesions heal several weeks months muscle weakness numbness lack hands arms feet legs
Rat-bite fever,symptoms depend bacteria infection symptoms streptobacillus moniliformis symptoms spirillum minus symptoms organism resolve 2 weeks untreated symptoms fever joint pain keep returning weeks longer chills fever joint pain redness swelling rash chills fever open sore site bite rash red purple patchesâ bumps swollen lymph nodes bite
Meningococcemia,there few symptoms later symptoms fever headache irritability muscle pain nausea rash small red purple spots feet legs decline your level consciousness large areas bleeding skin shock
Relapsing fever,symptoms relapsing fever bleeding coma headache joint aches muscle aches nausea vomiting sagging face facial droop stiff neck sudden high fever shaking chills seizure vomiting weakness unsteadiness walking
Rickettsialpox,disease begins site mite bite painless firm red lump nodule nodule into fluid-filled blister bursts crusts lump up 1 inch 2 5 centimeters wide these lumps face trunk arms legs they palms hands soles feet symptoms 6 15 days coming contact bacteria symptoms rash painful clears discomfort bright light photophobia fever chills headache muscle pain rash chickenpox sweating runny nose sore throat cough enlarged lymph nodes loss appetite nausea vomiting
Scalded skin syndrome,symptoms blisters fever large areas skin peel fall exfoliation desquamation painful skin redness skin erythema spreads cover skin slips off gentle pressure leaving wet red areas nikolsky sign
Scrofula,symptoms scrofula fevers rare painless swelling lymph nodes neck areas sores rare sweating
Smallpox,symptoms 12 14 days you been infected virus they backache delirium diarrhea excessive bleeding fatigue high fever malaise raised pink rash turns into sores crusty 8 9 severe headache nausea vomiting
Swimming pool granuloma,main symptom reddish purple bump papule slowly grows into purplish painful nodule elbows fingers back hands commonly affected parts knees legs areas affected nodules break down ulcerate leave open sore they spread up lymph nodes limb remain solitary nodule bacteria cannot survive temperature internal organs they stay skin causing nodules
Sydenham chorea,sydenham chorea mainly involves jerky uncontrollable purposeless movements hands arms shoulder face legs trunk these movements twitches disappear sleep symptoms symptoms rf these changes handwriting loss fine motor control especially fingers hands loss emotional control bouts inappropriate crying laughing high fever heart problem joint pain swelling skin lumps skin rashes nosebleeds
