Disease,Symptoms
Herpes - oral,"Some people get mouth ulcers when they first come into contact with HSV-1 virus. Others have no symptoms. Symptoms most often occur in kids between 1 and 5 years old.; Symptoms may be mild or severe. They most often appear within 1 to 3 weeks after you come into contact with the virus. They may last up to 3 weeks.; Warning symptoms include:; Before blisters appear, you may have:; Blisters or a rash may form on your:; When many blisters are present, it is called an outbreak. You may have:; Symptoms may be triggered by:; If the symptoms return later, they are usually milder in most cases.; Itching of the lips or skin around the mouth; Burning near the lips or mouth area; Tingling near the lips or mouth area; Sore throat; Fever; Swollen glands in the face or neck; Painful swallowing; Gums; Lips; Mouth; Throat; Red blisters that break open and leak; Small blisters filled with clear yellowish fluid; Several smaller blisters that may grow together into a large blister; Yellow and crusty blister as it heals, which eventually turns into pink skin; Menstruation or hormone changes; Being out in the sun; Fever; Stress"
Pneumococcal meningitis,"Symptoms usually come on quickly, and may include:; Other symptoms that can occur with this disease:; Pneumococcal meningitis is an important cause of fever in infants.; Fever and chills; Mental status changes; Nausea and vomiting; Sensitivity to light (photophobia); Severe headache; Stiff neck; Agitation; Bulging fontanelles in infants; Decreased consciousness; Poor feeding or irritability in children; Rapid breathing; Unusual posture, with the head and neck arched backwards (opisthotonos)"
Meningococcal meningitis,"Symptoms usually come on quickly, and may include:; Other symptoms that can occur with this disease:; Fever and chills; Mental status changes; Nausea and vomiting; Purple, bruise-like areas (purpura); Rash, pinpoint red spots (petechiae); Sensitivity to light (photophobia); Severe headache; Stiff neckÂ; Agitation; Bulging fontanelles in infants; Decreased consciousness; Poor feeding or irritability in children; Rapid breathing; Unusual posture with the head and neck arched backwards (opisthotonus)"
Waterhouse-Friderichsen syndrome,"Symptoms occur suddenly. They are due to the bacteria growing in large numbers inside the body. Symptoms include:; The infection with bacteria causes bleeding throughout the body, which causes:; Bleeding into the adrenal glands makes the glands unable to produce enough adrenal hormones. This is called adrenal crisis, and it leads to symptoms such as:; Fever and chills; Joint and muscle pain; Headache; Vomiting; A rash throughout the body; Disseminated intravascular coagulation in which small blood clots cut off blood supply to the organs; Septic shock; Dizziness, weakness; Very low blood pressure; Very fast heart rate; Confusion or coma"
Gram-negative meningitis,"Symptoms usually come on quickly, and may include:; Other symptoms that can occur with this disease:; Fever and chills; Mental status changes; Nausea and vomiting; Sensitivity to light (photophobia); Severe headache; Stiff neck (meningismus); Symptoms of a bladder, kidney, intestine, or lung infection; Agitation; Bulging fontanelles in infants; Decreased consciousness; Poor feeding or irritability in children; Rapid breathing; Unusual posture, with the head and neck arched backwards (opisthotonos)"
Q fever,"Symptoms usually develop 2 to 3 weeks after coming in contact with the bacteria. This time is called the incubation period. Most people have no symptoms. Others may have moderate symptoms similar to the flu. If symptoms occur, they may last for several weeks.; Common symptoms may include:; Other symptoms that may develop include:; Dry cough (nonproductive); Fever; Headache; Joint pain (arthralgia); Muscle pains; Abdominal pain; Chest pain; Jaundice (yellowing of the skin and whites of the eyes); Rash"
H influenzae meningitis,"Symptoms usually come on quickly, and may include:; Other symptoms that can occur include:; Fever and chills; Mental status changes; Nausea and vomiting; Sensitivity to light (photophobia); Severe headache; Stiff neck (meningismus); Agitation; Bulging fontanelles in infants; Decreased consciousness; Poor feeding and irritability in children; Rapid breathing; Unusual posture, with the head and neck arched backwards (opisthotonos)"
Staphylococcal meningitis,"Symptoms may come on quickly, and include:; Other symptoms that can occur with this disease:; Fever and chills; Mental status changes; Nausea and vomiting; Sensitivity to light (photophobia); Severe headache; Stiff neck; Agitation; Bulging fontanelles in infants; Decreased alertness; Poor feeding or irritability in children; Rapid breathing; Unusual posture, with the head and neck arched backwards (opisthotonos)"
Tetanus,"Tetanus often begins with mild spasms in the jaw muscles (lockjaw). The spasms can also affect your chest, neck, back, and abdominal muscles. Back muscle spasms often cause arching, called opisthotonos.; Sometimes, the spasms affect muscles that help with breathing, which can lead to breathing problems.; Prolonged muscular action causes sudden, powerful, and painful contractions of muscle groups. This is called tetany. These are the episodes that can cause fractures and muscle tears.; Other symptoms include:; Drooling; Excessive sweating; Fever; Hand or foot spasms; Irritability; Swallowing difficulty; Uncontrolled urination or defecation"
Legionnaires disease,"Symptoms tend to get worse during the first 4 to 6 days. They most often improve in another 4 to 5 days.; Symptoms may include:; General discomfort, loss of energy, or ill feeling (malaise); Headache; Fever, shaking chills; Joint pain, muscle aches and stiffness; Chest pain; Cough that does not produce much sputum or mucus (dry cough); Coughing up blood (rare); Diarrhea, nausea, vomiting, and abdominal pain; Shortness of breath"
Cryptosporidium enteritis,"Symptoms of infection include:; Abdominal cramping; Diarrhea, which is often watery, non-bloody, large-volume, and occurs many times a day; General sick feeling (malaise); Malnutrition and weight loss (in severe and prolonged cases); Nausea"
Erysipelas,"The infection occurs on the legs or arms most of the time. It may also occur on the face and trunk.; Symptoms of erysipelas may include:; Fever and chillsÂ; Skin sore with a sharp raised border. As the infection spreads, the skin is painful, very red, swollen, and warm. Blisters on the skin can form."
Ear infection - chronic,"Symptoms of a chronic ear infection may be less severe than symptoms of an acute infection. The problem may go unnoticed and untreated for a long time.; Symptoms may include:; Symptoms may continue or come and go. They may occur in one or both ears.; Ear pain or discomfort that is usually mild and feels like pressure in the ear; Fever, usually low-grade; Fussiness in infants; Pus-like drainage from the ear; Hearing loss"
Gas gangrene,"Gas gangrene causes very painful swelling. The skin turns pale to brownish-red. When the swollen area is pressed, gas can be felt (and sometimesÂ heard)Â as a crackly sensation (crepitus). The edges of the infected area grow so quickly that changes can be seen over minutes. The area may be completely destroyed.; Symptoms include:; If the condition is not treated, the person can go into shock with decreased blood pressure (hypotension), kidney failure, coma, and finally death.; Air under the skin (subcutaneous emphysema); Blisters filled with brown-red fluid; Drainage from the tissues, foul-smelling brown-red or bloody fluid (serosanguineous discharge); Increased heart rate (tachycardia); Moderate to high fever; Moderate to severe pain around a skin injury; Pale skin color, later becoming dusky and changing to dark red or purple; Swelling that worsens around a skin injury; Sweating; Vesicle formation, combining into large blisters; Yellow color to the skin (jaundice)"
Malaria,"Symptoms include:; Anemia (condition in which the body doesn't have enough healthy red blood cells); Bloody stools; Chills, fever, sweating; Coma; Convulsions; Headache; Jaundice; Muscle pain; Nausea and vomiting"
Swimmer's ear,"Symptoms of swimmer's ear include:; Drainage from the ear -- yellow, yellow-green, pus-like, or foul smelling; Ear pain, which may get worse when you pull on the outer ear; Hearing loss; Itching of the ear or ear canal"
